a: ä°
acupuncture/n: a°kyúpuńkć'r; v: akyúpu°ńkć'r
acutance: 'kyü°t'ns
acute: 'kyü°t
acutely: 'kyü°tlë
acuteness: 'kyü°tn's
acyclic: äsï°klik
acyclovir: 'si°klövir
acyl: a°sil
acylate: a°s'lät
acyloin: 'si°löin
ad: a°d
Ada: ä°d'
adactylous: äda°kt'l's
adage: a°dij
adagial: 'dä°jë'l
adagietto: 'dájëe°tö
adagio: 'dá°jö
Adam: a°d'm
adamant: a°d'm'nt
adamantine: ad'ma°ntin
adamantly: a°d'm'ntlë
Adamic: 'da°mik
Adamical: 'da°mik'l
Adamite: a°d'mït
Adamitic: ad'mi°tik
Adams: a°d'mz
adamsite: a°d'mzït
Adan: ä°d'n
Adana: á°dáná°
Adapa: á°dápá°
adapt: 'da°pt
adaptability: 'dapt'bi°l'të
adaptable: 'da°pt'b'l
adaptableness: 'da°pt'b'lnes
adaptation: ad'ptä°ś'n
adaptations: adaptä°ś'nz
adapted: 'da°pt'd
adapter: 'da°pt'r
adapters: 'da°pt'rz
adapting: 'da°ptiń
adaption: 'da°pś'n
adaptive: 'da°ptiv
adaptively: 'da°ptivlë
adaptiveness: 'da°ptivnes
adaptor:> adapter
adaptors:> adapters
adapts: 'da°pts
Adar: 'dá°r
adarbitrium: ádárbi°trëúm
Adas: ä°d'z
adaxial: ada°ksë'l
add: a°d
Addams: a°d'mz
addax: a°daks
added: a°d'd
addend: a°dend
addendum: 'de°nd'm
adder: a°d'r
Adderley: 'dé°rlë
addict/n: a°dikt; v: 'di°kt
addicted: 'di°ktid
addictedness: 'di°ktidnes
addicting: 'di°ktiń
addiction: 'di°kś'n
addictions: 'di°kś'nz
addictive: 'di°ktiv
addicts: a°dikts
Addie: a°dë
adding: a°diń
Addington: a°dińt'n
Addison: a°dis'n
Addisonian: adisö°në'n
additament: 'di°t'm'nt
addition: 'di°ś'n
additional: 'di°ś'n'l
additionally: 'di°ś'n'lë
additions: 'di°ś'nz
additive: a°ditiv
additively: a°ditivlë
additives: a°ditivz
additory: a°ditörë
addle: a°d'l
addlebrained: a°d'lbränd
addled: a°d'ld
addlepated: a°d'lpätid
addorsed: 'dó°rst
address/n: a°dres; v: 'dre°s
addressable: 'dre°s'b'l
addressed: 'dre°st
addressee: adresë°
addresses: a°dre°siz
addressing: 'dre°siń
Addressograph: 'dre°s'graf
adds: a°dz
adduce: 'dü°s
adducent: 'dü°s'nt
adduct: a°d'kt
adduction: 'du°kś'n
adductor: 'du°kt'r
Adela: 'de°l'
Adelaide: a°d'läd
adelantado: ad'lántá°dö
Adele: 'de°l
Adeline: a°d'lïn
ademption: 'de°mpś'n
Aden: ä°d'n
Adenauer: ä°d'naúr
adenectomy: ad'ne°kt'më
adenine: a°d'nin
adenitis: ad'nï°tis
adenocarcinoma: a°d'nökárs'nö°m'
adenocarcinomatous: a°d'nökárs'no°m't's
adenoid: a°d'noid
adenoidectomy: ad'noide°kt'më
adenoids: a°d'noidz
adenoma: ad'nö°m'
adenomatous: ad'no°m't's
adenosine: 'de°n'sën
adenovirus: ad'növï°r's
adept/aj: 'de°pt; n: a°dept
adequacy: a°d'kw'së
adequate: a°d'kwät
adequately: a°d'kwitlë
adequateness: a°d'kwitnes
adermin: ädé°rmin
adessive: ade°siv
adhere: adhë°r
adhered: adhi°rd
adherence: adhë°r'ns
adherend: adhë°r'nd
adherent: adhë°r'nt
adherently: adhë°r'ntlë
adherents: adhi°r'nts
adheres: 'dhi°rz
adhering: 'dhi°riń
adhesion: adhë°ź'n
adhesive: adhë°siv
adhesively: adhë°sivlë
adhesives: adhë°sivz
adhibit: adhi°bit
adhibition: adh'bi°ś'n
adiabatic: adë'ba°tik
adiaphorism: adëa°f'riz'm
adiaphorous: adëa°f'r's
Adidas: 'dë°d's
adieu: 'dü°
Adige: á°dëje
Adigranth: á°digrunt
adios: adëö°s
adipocere: a°d'pösër
adipose: a°d'pös
adiposity: adu°pásitë
Adirondack: ad'ro°ndak
adit: a°dit
adjacency: 'jä°s'nsë
adjacent: 'jä°s'nt
adjacently: 'jä°s'ntlë
adjectival: ajiktï°v'l
adjectivally: ajiktï°v'lë
adjective: a°jiktiv
adjectively: a°jiktivlë
adjectives: a°jiktivz
adjoin: 'joi°n
adjoining: 'joi°niń
adjoins: 'joi°nz
adjoint: 'joi°nt
adjourn: 'jé°rn
adjourned: 'jé°rnd
adjourning: 'jé°rniń
adjournment: 'jé°rnm'nt
adjourns: 'jé°rnz
adjudge: 'ju°j
adjudged: 'ju°jd
adjudicate: 'jü°dikät
adjudicated: 'jü°d'kätid
adjudicating: 'jü°dikätiń
adjudication: 'jüd'kä°ś'n
adjudicative: 'jü°d'kätiv
adjunct: a°juńkt
adjunction: 'ju°ńkś'n
adjunctive: 'ju°ńktiv
adjunctively: 'ju°ńktivlë
adjunctly: a°j'ńktlë
adjuncts: a°juńkts
adjuratory: 'jú°r'törë
adjure: 'jú°r
adjust: 'ju°st
adjustable: 'ju°st'b'l
adjusted: 'ju°st'd
adjuster: 'ju°st'r
adjusters: 'ju°st'rz
adjusting: 'ju°stiń
adjustment: 'ju°stm'nt
adjustmental: 'j'stme°nt'l
adjustments: 'ju°stm'nts
adjusts: 'ju°sts
adjutage: a°jútij
adjutant: a°j't'nt
adjuvant: a°j'v'nt
Adkins: a°dkinz
Adler: a°dl'r
Adlerian: adlë°rë'n
adman: a°dman
admass: a°dmas
admeasure: adme°ź'r
admeasurement: adme°ź'rm'nt
admen: a°dm'n
Admetus: admë°t's
admin: a°dmin
adminicle: admi°nik'l
adminicular: admini°kyúl'r
administer: admi°nist'r
administered: 'dmi°n'st'rd
administering: admi°nist'riń
administers: admi°nist'rz
administrant: admi°nistr'nt
administrate: admi°nisträt
administrating: 'dmi°n'strätiń
administration: administrä°ś'n
administrations: administrä°ś'nz
administrative: admi°nisträtiv
administratively: admi°nisträtivlë
administrator: admi°nisträt'r
administrators: admi°nisträt'rz
administratrix: administrä°triks
admirable: a°dm'r'b'l
admirableness: a°dm'r'b'lnes
admirably: a°dm'r'blë
admiral: a°dm'r'l
admirals: a°dm'r'lz
admiralty: a°dm'r'ltë
admiration: adm'rä°ś'n
admirations: adm'rä°ś'nz
admirative: admï°r'tiv
admire: admï°r
admired: 'dmï°'rd
admirer: admï°r'r
admirers: 'dmï°r'rz
admires: admï°rz
admiring: admï°riń
admiringly: admï°rińlë
admissibility: 'dmis'bi°l'të
admissible: admi°s'b'l
admissibleness: admi°s'b'lnes
admission: admi°ś'n
admissions: admi°ś'nz
admissive: admi°siv
admit: admi°t
admits: 'dmi°ts
admittance: admi°t'ns
admitted: 'dmi°t'd
admittedly: admi°tidlë
admitting: admi°tiń
admix: admi°ks
admixture: admi°ksć'r
admonish: admo°niś
admonished: 'dmo°niśt
admonishes: admo°niśiz
admonishing: admo°niśiń
admonishment: admo°niśment
admonition: adm'ni°ś'n
admonitions: adm'ni°ś'nz
admonitor: admo°nit'r
admonitory: admo°nitörë
adnate: a°dnät
adnation: adnä°ś'n
adnominal: adno°min'l
ado: 'dü°
adobe: 'dö°bë
adolescence: ad'le°s'ns
adolescent: ad'le°s'nt
adolescently: ad'le°s'ntlë
adolescents: adöle°s'nts
Adolf: ä°dolf
Adolfo: áðo°lfo
Adolph: ä°dólf
Adonai: ádönï°
Adonic: 'do°nik
Adonis: 'do°nis
adopt: 'do°pt
adoptable: 'do°pt'b'l
adopted: 'do°pt'd
adoptee: 'do°ptë°
adoptees: 'do°ptë°z
adopter: 'do°pt'r
adopters: 'do°pt'rz
adopting: 'do°ptiń
adoption: 'do°pś'n
adoptions: 'do°pś'nz
adoptive: 'do°ptiv
adopts: 'do°pts
adorable: 'dó°r'b'l
adorableness: 'dö°r'b'lnes
adoration: ad'rä°ś'n
adore: 'dó°r
adored: 'dó°rd
adorer: 'dö°r'r
adores: 'dó°rz
adoring: 'dó°riń
adorn: 'dó°rn
adorned: 'dó°rnd
adorning: 'dó°rniń
adornment: 'dó°rnm'nt
adorns: 'dó°rnz
Adowa: á°dúwá
adown: 'daú°n
Adrastus: 'dra°st's
adrenal: 'drë°n'l
adrenalectomy: 'drën'le°kt'më
adrenalin: 'dre°n'lin
adrenaline: 'dre°n'lin
adrenocorticotrophic: 'drë°nökórt'kötro°fik
adrenocorticotrophin: 'drën'körtik'tro°fin
adrenocorticotropic: 'drë°nökórt'kötro°pik
Adrian: ä°drë'n
Adriana: ädrëa°n'
Adrianople: ädrë'nö°p'l
Adriatic: ädrëa°tik
Adrienne: ä°drëen
adrift: 'dri°ft
adroit: 'droi°t
adroitly: 'droi°tlë
adroitness: 'droi°tnes
ads: a°dz
adscititious: adsiti°ś's
adscititiously: adsiti°ś'slë
adscript: a°dskript
adscription: adskri°pś'n
adsorb: adsó°rb
adsorbate: adsó°rbät
adsorption: adsó°rpś'n
adsum: á°dsúm
adularia: aj'lä°rë'
adulate: a°j'lät
adulation: aj'lä°ś'n
adulatory: a°j'l'törë
adult: 'du°lt
adulterant: 'du°lt'r'nt
adulterate/aj: 'du°lt'rit; v: 'du°lt'rät
adulterated: 'du°lt'rätid
adulterates: 'du°lt'räts
adulteration: 'dult'rä°ś'n
adulterer: 'du°lt'r'r
adulterers: 'du°lt'r'rz
adulteress: 'du°lt'ris
adulterine: 'du°lt'rin
adulterous: 'du°lt'r's
adultery: 'du°lt'rë
adulthood: 'du°lthúd
adults: 'du°lts
adumbral: adu°mbr'l
adumbrate: adu°mbrät
adumbrative: adu°mbr'tiv
adumbratively: adu°mbr'tivlë
adunc: 'du°ńk
aduncity: 'du°nsitë
adust: 'du°st
Aduwa: á°dúwá
advance: adva°ns
advanced: adva°nst
advancement: adva°nsm'nt
advancements: 'dva°nsm'nts
advancer: adva°ns'r
advancers: 'dva°ns'rz
advances: 'dva°ns'z
advancing: 'dva°nsiń
advantage: adva°ntij
advantaged: adva°ntijd
advantageous: adv'ntä°j's
advantageously: adv'ntä°j'slë
advantageousness: adv'ntä°j'snes
advantages: adva°ntijiz
advection: adve°kś'n
advent: a°dvent
Adventist: a°dventist
Adventists: a°dventists
adventitia: adventi°śë'
adventitious: adv'nti°ś's
adventitiously: adv'nti°ś'slë
adventitiousness: adv'nti°ś'snes
adventive: adve°ntiv
adventively: adve°ntivlë
adventure: adve°nć'r
adventurer: adve°nć'r'r
adventurers: adve°nć'r'rz
adventures: adve°nć'rz
adventuresome: adve°nć'rs'm
adventuresomely: adve°nć'rs'mlë
adventuresomeness: adve°nć'rs'mnes
adventuress: adve°nć'ris
adventurism: adve°nć'riz'm
adventurous: adve°nć'r's
adventurously: adve°nć'r'slë
adventurousness: adve°nć'r'snes
adverb: a°dvérb
adverbial: advé°rbë'l
adverbially: advé°rbë'lë
adverbs: a°dv'rbz
adversaria: ádwersá°riá
adversarial: adv'rse°rë'l
adversaries: a°dv'rserëz
adversary: a°dv'rserë
adversative: advé°rs'tiv
adverse: advé°rs
adversely: advé°rslë
adverseness: advé°rsnes
adversity: advé°rsitë
advert: a°dv'rt
advertent: advé°rt'nt
advertently: advé°rt'ntlë
advertise: a°dv'rtïz
advertised: a°dv'rtïzd
advertisement: adv'rtï°zm'nt
advertisements: a°dv'rtïzm'nts
advertiser: a°dv'rtïz'r
advertisers: a°dv'rtïz'rz
advertises: a°dv'rtïziz
advertising: a°dv'rtïziń
advertorial: adv'rtó°rë'l
advertorials: adv'rtó°rë'lz
advice: advï°s
Advil: a°dvil
advisability: advïz'bi°litë
advisable: advï°z'b'l
advisableness: advï°z'b'lnes
advise: advï°z
advised: advï°zd
advisedly: advï°z'dlë
advisedness: advï°zidnis
advisee: 'dvïzë°
advisement: advï°zm'nt
adviser: advï°z'r
advisers: advï°z'rz
advises: advï°ziz
advising: advï°ziń
advisories: 'dvï°z'rëz
advisory: advï°z'rë
advocaat: advöká°t
advocacy: a°dv'k'së
advocate/n: a°dv'k't; v: a°dv'kät
advocated: a°dv'kät'd
advocates: a°dv'käts
advocating: a°dv'kätiń
advocation: adv'kä°ś'n
advocatory: advá°k'törë
advowson: advaú°z'n
adynamia: ad'nä°më'
adynamic: ad'na°mik
adytum: a°dit'm
adze: a°dz
ae: ä°
aecial: ë°śë'l
aecidia: ësi°dë'
aecidium: ësi°dë'm
aeciospore: ë°së'spör
aecium: ë°śë'm
aedes: äë°dëz
aedile: ë°dïl
Aegaeon: ijë°án
Aegean: ijë°'n
aeger:> eger
Aegeus: ë°jë's
Aegina: ijï°n'
Aeginetan: ëj'në°t'n
Aegir: e°jir
aegirine: ä°g'rën
aegirite: ä°g'rït
aegis: ë°jis
Aegisthus: iji°sþ's
Aegospotami: ëg'spá°t'mï
aegrotat: ë°grötat
Aegyptus: ëji°pt's
Aelfric: a°lfrik
Aeneas: a°në's
Aeneid: 'në°id
Aeneolithic: äënëöli°þik
aeneous: äë°në's
Aeolian: ëö°lë'n
Aeolic: ëá°lik
Aeolis: ë°'lis
aeolotropy: ë'lo°tr'pë
Aeolus: ë°'l's
aeon:> eon
aeonian:> eonian
aeonism:> eonism
aeons:> eons
aepyornis: ëpëó°rnis
aerate: ä°rät
aerator: ä°rät'r
aerenchyma: äre°ńk'm'
aerial: ä°rë'l
aerialist: ä°rë'list
aeriality: ärëa°litë
aerials: ä°rë'lz
aeric:> eric
aerie: ä°rë
aerification: är'f'kä°ś'n
aeriform: ä°r'fórm
aerify: ä°r'fï
aero: ä°rö
aeroballistics: äröb'li°stiks
aerobatic: är'ba°tik
aerobatics: är'ba°tiks
aerobe: ä°röb
aerobic: ärö°bik
aerobically: ärö°biklë
aerobics: ärö°biks
aerobiology: äröbïá°l'jë
aerobiosis: äröbïö°sis
aerobiotic: äröbïá°tik
aerobium: ärö°bë'm
aerodonetics: äröd'ne°tiks
aerodontia: är'do°nć'
aerodrome: ä°r'dröm
aerodromes: ä°r'drömz
aerodynamic: ärödïna°mik
aerodynamically: ärödïna°miklë
aerodynamicist: ärödïna°misist
aerodynamicists: ärödïna°misists
aerodynamics: ärödïna°miks
aerodyne: ä°r'dïn
aeroelastic: äröila°stik
aeroelasticity: äröilasti°sitë
aeroembolism: äröe°mb'liz'm
Aeroflot: ä°röflot
aerofoil:> airfoil
aerofoils:> airfoils
aerogram: ä°r'gram
aerograph: ä°r'graf
aerographic: är'gra°fik
aerography: äro°gr'fë
aerolite: ä°r'lït
aerolitic: är'li°tik
aerologic: är'lo°jik
aerology: äro°l'jë
aeromancy: ä°r'mansë
aeromarine: äröm'rë°n
aeromechanic: äröm'ka°nik
aeromechanics: äröm'ka°niks
aeromedical: är'me°dik'l
aeromedicine: är'me°dis'n
aerometeorograph: är'më°të'r'graf
aerometer: äro°mit'r
aerometry: äro°mitrë
aeronaut: ä°r'not
aeronautic: äröno°t'k
aeronautical: äröno°t'k'l
aeronautics: är'nó°tiks
aeroneurosis: ärönúrö°sis
aeronomy: äro°n'më
aeropause: ä°r'poz
aerophagia: är'fä°j'
aerophobia: är'fö°bë'
aerophobic: är'fö°bik
aerophone: ä°r'fön
aerophore: ä°r'för
aerophyte: ä°r'fït
aeroplane:> airplane
aeroplanes:> airplanes
aeroplankton: äröpla°ńkt'n
aeros:> eros
aeroscope: ä°r'sköp
aerose:> erose
aerosol: ä°r'sol
aerosols: ä°r'solz
aerospace: ä°röspäs
aerosphere: ä°r'sfër
aerostat: ä°röstat
aerostatic: är'sta°tik
aerostatics: är'sta°tiks
aerostation: är'stä°ś'n
aerostats: ä°röstats
aerotherapeutics: äröþer'pyü°tiks
aerothermodynamics: äröþérmödïna°miks
aerotrain: ä°röträn
aerotropic: är'tro°pik
aerotropism: äro°tr'piz'm
Aeschines: e°sk'nëz
Aeschylean: esk'lë°'n
Aeschylus: e°sk'l's
Aesculapian: esky'lä°pë'n
Aesculapius: esky'lä°pë's
aesculin:> esculin
Aesir: e°sir
Aesop: ë°sop
Aesopic: ësá°pik
aesthesia:> esthesia
aesthesis:> esthesis
aesthete: e°sþët
aesthetes: e°sþëts
aesthetic: esþe°tik
aesthetical:> esthetical
aesthetically: esþe°tiklë
aesthetician:> esthetician
aestheticism: esþe°tisiz'm
aesthetics: esþe°tiks
aestival:> estival
aestivate:> estivate
aestivation:> estivation
aet:> et
aether: ë°þ'r
aetheric:> etheric
aetiological: ëtë'lo°jik'l
aetiologically:> etiologically
aetiology:> etiology
Aetna: e°tn'
Aetolia: ëtö°lë'
afar: 'fá°r
afeard: 'fë°rd
afebrile: äfë°br'l
aff: a°f
affable: a°f'b'l
affably: a°f'blë
affair: 'fä°r
affaire: afe°r
affairs: 'fe°rz
affect/n: a°fekt; v: 'fe°kt
affectation: afektä°ś'n
affected: 'fe°ktid
affectedly: 'fe°ktidlë
affectedness: 'fe°ktidnes
affecting: 'fe°ktiń
affectingly: 'fe°ktińlë
affection: 'fe°kś'n
affectional: 'fe°kś'n'l
affectionate: 'fe°kś'nit
affectionately: 'fe°kś'n'tlë
affections: 'fe°kś'nz
affective: 'fe°ktiv
affectively: 'fe°ktivlë
affectivity: afekti°vitë
affects: 'fe°kts
affenpinscher: a°f'npinś'r
afferent: a°f'r'nt
affettuoso: afećüö°sö
affiance: 'fï°'ns
affianced: 'fï°'nst
affiant: a°fë'nt
affiche: afë°ś
affiches: afë°ś
affidavit: afidä°vit
affidavits: afidä°vits
affiliable: 'fi°lë'b'l
affiliate/n: 'fi°lëit; v: 'fi°lëät
affiliated: 'fi°lëät'd
affiliates: 'fi°lëäts
affiliating: 'fi°lëätiń
affiliation: 'filëä°ś'n
affiliations: 'filëä°ś'nz
affinal: afï°n'l
affine: afï°n
affined: 'fï°nd
affinely: afï°nlë
affines: 'fï°nz
affinities: 'fi°n'tëz
affinitive: 'fi°nitiv
affinity: 'fi°nitë
affirm: 'fé°rm
affirmance: 'fé°rm'ns
affirmant: 'fé°rm'nt
affirmation: af'rmä°ś'n
affirmations: af'rmä°ś'nz
affirmative: 'fé°rm'tiv
affirmatively: 'fé°rm'tivlë
affirmatory: 'fé°rm'törë
affirmed: 'fé°rmd
affirming: 'fé°rmiń
affirms: 'fé°rmz
affix/n: a°fiks; v: 'fi°ks
affixation: afiksä°ś'n
affixed: 'fi°kst
affixes: a°fiksiz
affixial: afi°ksë'l
affixing: 'fi°ksiń
afflated: 'flä°tid
afflatus: 'flä°t's
afflict: 'fli°kt
afflicted: 'fli°kt'd
afflicting: 'fli°ktiń
affliction: 'fli°kś'n
afflictions: 'fli°kś'nz
afflictive: 'fli°ktiv
afflicts: 'fli°kts
affluence: a°flü'ns
affluent: a°flü'nt
affluently: a°flü'ntlë
afflux: a°fl'ks
afford: 'fó°rd
affordability: 'fórd'bi°l'të
affordable: 'fó°rd'b'l
affordably: 'fó°rd'blë
afforded: 'fó°rd'd
affording: 'fó°rdiń
affords: 'fó°rdz
afforest: 'fo°rist
affranchise: 'fra°nćïz
affray: 'frä°
affrayer: 'frä°'r
affricate: a°fr'k't
affricates: a°fr'k'ts
affrication: afr'kä°ś'n
affricative: 'fri°k'tiv
affright: 'frï°t
affront: 'fru°nt
affronte: afr'ntä°
affronted: 'fru°ntid
affronting: 'fru°ntiń
affrontive: 'fru°ntiv
affronts: 'fru°nts
affusion: 'fyü°ź'n
Afghan: a°fgan
afghani: afga°në
afghanis: afga°nëz
Afghanistan: afga°nistan
Afghans: a°fganz
aficionada: 'fiśy'ná°d'
aficionado: 'fiśy'ná°dö
aficionados: 'fiś'no°döz
afield: 'fë°ld
afikomen: áfëkö°m'n
afire: 'fï°r
aflame: 'flä°m
aflatoxin: afl'to°ksin
afloat: 'flö°t
aflutter: 'flu°t'r
afoot: 'fú°t
afore: 'fö°r
aforementioned: 'fó°rmenś'nd
aforesaid: 'fó°rsed
aforethought: 'fó°rþot
aforetime: 'fö°rtïm
afoul: 'faú°l
afraid: 'frä°d
afreet: a°frët
afresh: 'fre°ś
Africa: a°frik'
African: a°frik'n
Africana: afrëká°n'
Africander: afrika°nd'r
Africanise:> Africanize
Africanised:> Africanized
Africanist: a°frik'nist
Africanize: a°frik'nïz
Africanized: a°fr'k'nïzd
Africans: a°frik'nz
Afrikaans: afriká°ns
Afrikander: afr'ka°nd'r
Afrikaner: afr'ká°n'r
Afrikanerdom: afr'ko°n'rd'm
Afrikaners: afriko°n'rz
afrit: a°frët
Afro: a°frö
Afrocentric: a°fröse°ntrik
afrormosia: afrörmö°zë'
aft: a°ft
after: a°ft'r
afterbirth: a°ft'rbérþ
afterbody: a°ft'rbádë
afterbrain: a°ft'rbrän
afterburner: a°ft'rbérn'r
afterburners: a°ft'rbérn'rz
afterburning: a°ft'rbérniń
aftercare: a°ft'rkär
afterclap: a°ft'rklap
afterdamp: a°ft'rdamp
afterdeck: a°ft'rdek
aftereffect: a°ft'r'fekt
aftereffects: a°ft'r'fekts
afterglow: a°ft'rglö
afterglows: a°ft'rglöz
aftergrowth: a°ft'rgröþ
afterguard: a°ft'rgárd
afterheat: a°ft'rhët
afterhours: a°ft'rhaú'rz
afterimage: a°ft'rimij
afterimages: a°ft'rimij'z
afterlife: a°ft'rlïf
afterlives: a°ft'rlïvz
aftermarket: a°ft'rmorkit
aftermarkets: a°ft'rmorkits
aftermath: a°ft'rmaþ
aftermaths: a°ft'rmaþs
aftermost: a°ft'rmöst
afternoon: aft'rnü°n
afternoons: aft'rnü°nz
afterpains: a°ft'pänz
afterpiece: a°ft'rpës
afters: a°ft'z
aftersensation: a°ft'rsensäś'n
aftershaft: a°ft'rśaft
aftershave: aft'rśä°v
aftershaves: aft'rśä°vz
aftershock: a°ft'rśok
aftershocks: a°ft'rśoks
aftertaste: a°ft'rtäst
aftertastes: a°ft'rtästs
aftertax: a°ft'rtaks
afterthought: a°ft'rþot
afterthoughts: a°ft'rþots
aftertime: a°ft'rtïm
afterward: a°ft'rw'rd
afterwards: a°ft'rw'rdz
afterword: a°ft'rwérd
afterworld: a°ft'rwérld
afteryears: a°ft'ryërz
aftmost: a°ftmöst
Ag: a°g
aga: á°g'
Agadir: ágádë°r
again: 'ge°n
against: 'ge°nst
agalloch: 'ga°l'k
agalmatolite: ag'lma°t'lït
agalwood: a°g'lwúd
agama: a°g'm'
Agamemnon: ag'me°mnon
agamete: äga°mët
agamic: 'ga°mik
agamid: a°g'mid
agammaglobulinemia: ägam'globy'l'nu°më'
agamogenesis: ag'möje°nisis
agamous: a°g'm's
agamy: a°g'më
Agana: 'go°n'
agapanthus: ag'pa°nþ's
agape: ágá°pä
agar: á°gár
agaric: a°g'rik
Agassi: a°g'së
Agassiz: 'ga°siz
agate: a°g't
agates: a°g'ts
agateware: a°gitwär
Agatha: a°g'þ'
agatise:> agatize
agatize: a°g'tïz
agave: 'gä°vë
agaze: 'gä°z
age: ä°j
aged: ä°jid
agedly: ä°jidlë
agedness: ä°jidnes
agee: ä°jë°
ageing:> aging
ageism: ä°jiz'm
ageless: ä°jl's
agelessness: ä°jlisnes
agelong: ä°jloń
agencies: ä°j'nsëz
agency: ä°j'nsë
agenda: 'je°nd'
agendas: 'je°nd'z
agendum: 'je°nd'm
agenesis: äje°nisis
agenetic: äj'ne°tik
agent: ä°j'nt
agential: äje°nś'l
agentival: äj'ntï°v'l
agentive: ä°j'ntiv
agents: ä°j'nts
ager: ä°j'r
ageratum: aj'rä°t'm
agers: ä°j'rz
ages: ä°j'z
Aggada: ágádá°
Aggadah: ágádá°
Aggadic: 'ga°dik
agger: a°j'r
Aggie: a°gë
Aggies: a°gëz
aggiornamento: ádjórnáme°nto
agglomerate: 'glo°m'rät
agglomeration: 'glom'rä°ś'n
agglomerative: 'glo°m'rätiv
agglutinability: 'glüt'n'bi°litë
agglutinant: 'glü°t'n'nt
agglutinate/aj: 'glü°t'nit; v: 'glü°t'nät
agglutinating: 'glü°t'nätiń
agglutination: 'glüt'nä°ś'n
agglutinative: 'glü°t'nätiv
agglutinin: 'glü°t'nin
agglutinogen: aglúti°n'j'n
agglutinogenic: aglútin'ge°nik
aggradation: agr'dä°ś'n
aggrade: 'grä°d
aggrandise:> aggrandize
aggrandisement:> aggrandizement
aggrandising:> aggrandizing
aggrandize: 'gra°ndïz
aggrandizement: a°gr'ndïzm'nt
aggrandizing: 'gra°ndïziń
aggravate: a°gr'vät
aggravated: a°gr'vät'd
aggravates: a°gr'väts
aggravating: a°gr'vätiń
aggravation: agr'vä°ś'n
aggregate: a°gr'gät
aggregated: a°gr'gät'd
aggregates: a°gr'gäts
aggregation: agr'gä°ś'n
aggress: 'gre°s
aggression: 'gre°ś'n
aggressions: 'gre°ś'nz
aggressive: 'gre°siv
aggressively: 'gre°sivlë
aggressiveness: 'gre°sivn's
aggressivity: 'gresi°vitë
aggressor: 'gre°s'r
aggressors: 'gre°s'rz
aggrieve: 'grë°v
aggrieved: 'grë°vd
aggrievedly: 'grë°vidlë
aggrievedness: 'grë°vdnes
aggro: a°grö
agha: á°g'
aghast: 'ga°st
agile: a°j'l
agilely: a°j'lë
agileness: a°j'lnes
agility: 'ji°litë
agin: ojë°n
Agincourt: a°jinkört
aging: ä°jiń
agio: a°jëö
agiotage: a°jë'tij
agist: 'ji°st
agister: 'ji°st'r
agistment: 'ji°stm'nt
agitable: a°jit'b'l
agitate: a°jität
agitated: a°j'tät'd
agitating: a°j'tätiń
agitation: ajitä°ś'n
agitato: ajitá°tö
agitator: a°jität'r
agitators: a°jität'rz
agitprop: a°jitprop
Aglaia: 'glä°'
agleam: 'glë°m
aglet: a°glit
agley: 'glë°
aglimmer: 'gli°m'r
aglitter: 'gli°t'r
aglossia: 'glo°së'
aglow: 'glö°
agly: 'glë°
aglycon: 'glï°kon
aglycone: 'glï°kön
agma: a°gm'
agminate: a°gm'nit
agnail: a°gnäl
agnate: a°gnät
agnation: agnä°ś'n
Agnes: a°gnis
Agnew: a°gnü
Agni: a°gnë
agnise:> agnize
agnize: agnï°z
agnomen: agnö°m'n
agnominal: agno°m'n'l
agnosia: agnö°ź'
agnostic: agno°stik
agnosticism: agno°stisiz'm
agnostics: agno°stiks
